Process 1:
Stage 11: 3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,3,0,1,3,1,0,0,1,1,1,1,1,1,1,1,1,1,3,1
Stage 12: 1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,0,0,3,0,1,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,3
Process 2:
Stage 13: 0,1,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 14: 0,3,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 15: 0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 16: 0,3,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 17: 0,3,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Process 3:
Stage 18: 0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 19: 0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 20: 0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage 21: 0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Process 4:
Stage 22: 0,0,3,0,1,1,3,3,0,3,3,0,0,0,0,3,1,1,1,0,3,0,0,1,3,1,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 23: 0,0,3,0,1,1,3,3,0,1,3,0,0,0,0,3,3,3,1,0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 24: 0,0,3,0,3,1,1,1,0,1,3,0,0,0,0,3,3,3,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Stage 25: 0,0,1,0,1,3,3,3,0,3,3,0,0,0,0,1,1,1,3,0,3,0,0,1,3,3,0,1,0,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 26: 0,0,1,0,3,3,1,1,0,3,1,0,0,0,0,1,1,3,3,0,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,3,3,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Stage 27: 0,0,3,0,1,1,1,1,0,3,3,0,0,0,0,3,1,1,3,0,3,0,0,3,3,1,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 28: 0,0,3,0,1,3,1,1,0,3,3,0,0,0,0,1,1,1,3,0,3,0,0,3,3,1,0,1,0,0,0,0,0,0,0,3,0,1,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 29: 0,0,1,0,3,3,1,1,0,3,1,0,0,0,0,1,1,3,3,0,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,3,3,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Stage 30: 0,0,3,0,1,1,3,3,0,3,1,0,0,0,0,3,1,1,3,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 31: 0,0,1,0,1,3,3,3,0,3,1,0,0,0,0,1,1,1,1,0,3,0,0,1,3,3,0,1,0,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stage 32: 0,0,1,0,1,3,3,3,0,1,3,0,0,0,0,1,3,3,1,0,3,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
